,category,id,name,target
0,technology,article-jan-0418,21st-Century Sports: How Digital Technology Is Changing the Face Of The Sporting Industry,0
1,business,article-jan-0027,Asian quake hits European shares,1
2,technology,article-jan-0631,BT offers free net phone calls,0
3,business,article-jan-2105,Barclays shares up on merger talk,1
4,sport,article-jan-3300,Barkley fit for match in Ireland,2
5,sport,article-jan-4187,Bellamy under new fire,2
6,sport,article-jan-1974,Benitez 'to launch Morientes bid',2
7,sport,article-jan-3666,Benitez delight after crucial win,2
8,technology,article-jan-2629,Big war games battle it out,0
9,technology,article-jan-2415,British Library gets wireless net,0
10,sport,article-jan-4210,Brizzel to run AAA's in Sheffield,2
11,business,article-jan-4789,Bush budget seeks deep cutbacks,1
12,business,article-jan-3452,Bush to get 'tough' on deficit,1
13,technology,article-jan-2428,Cable offers video-on-demand,0
14,technology,article-jan-4766,Cabs collect mountain of mobiles,0
15,technology,article-jan-2595,Camera phones are 'must-haves',0
16,business,article-jan-2935,Card fraudsters 'targeting web',1
17,business,article-jan-0578,Cash gives way to flexible friend,1
18,technology,article-jan-3023,Cebit opens to mobile music tune,0
19,sport,article-jan-2356,Charvis set to lose fitness bid,2
20,sport,article-jan-1023,Chelsea hold Arsenal,2
21,business,article-jan-0641,Christmas sales worst since 1981,1
22,sport,article-jan-2461,Clijsters set for February return,2
23,sport,article-jan-4541,Clyde 0-5 Celtic,2
24,sport,article-jan-1259,Coach Ranieri sacked by Valencia,2
25,technology,article-jan-4007,Confusion over high-definition TV,0
26,business,article-jan-4171,Cuba winds back economic clock,1
27,technology,article-jan-0272,DS aims to touch gamers,0
28,sport,article-jan-4894,Dawson set for new Wasps contract,2
29,business,article-jan-4504,Diageo to buy US wine firm,1
30,technology,article-jan-1740,Digital guru floats sub-$100 PC,0
31,business,article-jan-2390,EU aiming to fuel development aid,1
32,sport,article-jan-4471,England 17-18 France,2
33,business,article-jan-3978,Enron bosses in $168m payout,1
34,business,article-jan-2209,Euronext 'poised to make LSE bid',1
35,business,article-jan-0858,Europe asks Asia for euro help,1
36,business,article-jan-3187,Europe blames US over weak dollar,1
37,business,article-jan-1282,Fannie Mae 'should restate books',1
38,technology,article-jan-3414,Featured: 'Brainwave' cap controls computer,0
39,technology,article-jan-2289,Featured: 'Evil twin' fear for wireless net,0
40,technology,article-jan-1899,Featured: 'Friends fear' with lost mobiles,0
41,business,article-jan-3686,Featured: 'Post-Christmas lull' in lending,1
42,business,article-jan-3679,Fed warns of more US rate rises,1
43,sport,article-jan-1469,Federer forced to dig deep,2
44,sport,article-jan-4815,Ferguson puts faith in youngsters,2
45,business,article-jan-1761,GE sees 'excellent' world economy,1
46,business,article-jan-4519,GM issues 2005 profits warning,1
47,technology,article-jan-0248,Gangsters dominate gaming chart,0
48,sport,article-jan-1280,Gardener wins double in Glasgow,2
49,business,article-jan-0154,Gazprom 'in $36m back-tax claim',1
50,business,article-jan-4182,German growth goes into reverse,1
51,business,article-jan-3155,Germany calls for EU reform,1
52,technology,article-jan-0502,Go-ahead for new internet names,0
53,sport,article-jan-1027,Greek duo cleared in doping case,2
54,sport,article-jan-3810,Hansen 'delays return until 2006',2
55,sport,article-jan-1481,Henman & Murray claim LTA awards,2
56,sport,article-jan-2551,Henman decides to quit Davis Cup,2
57,technology,article-jan-0989,Hi-tech posters guide commuters,0
58,sport,article-jan-0633,Hodgson shoulders England blame,2
59,technology,article-jan-1566,Hollywood to sue net film pirates,0
60,sport,article-jan-0791,Holmes secures comeback victory,2
61,business,article-jan-2691,House prices suffer festive fall,1
62,sport,article-jan-3650,IAAF launches fight against drugs,2
63,business,article-jan-1867,India-Pakistan peace boosts trade,1
64,business,article-jan-2835,Iraqi voters turn to economic issues,1
65,sport,article-jan-1079,Jansen suffers a further setback,2
66,technology,article-jan-4592,Latest Opera browser gets vocal,0
67,business,article-jan-4111,Laura Ashley chief stepping down,1
68,technology,article-jan-0599,Learning to love broadband,0
69,technology,article-jan-0969,Mac Mini heralds mini revolution,0
70,business,article-jan-2042,Macy's owner buys rival for $11bn,1
71,business,article-jan-0050,Madagascar completes currency switch,1
72,sport,article-jan-4860,McLeish ready for criticism,2
73,technology,article-jan-0180,Mobile games come of age,0
74,technology,article-jan-1582,More power to the people says HP,0
75,sport,article-jan-4456,Mourinho sends out warning shot,2
76,sport,article-jan-3002,Moya suffers shock loss,2
77,sport,article-jan-2380,Moyes U-turn on Beattie dismissal,2
78,sport,article-jan-3243,Murray returns to Scotland fold,2
79,business,article-jan-3151,Mystery surrounds new Yukos owner,1
80,sport,article-jan-2619,Off-colour Gardener storms to win,2
81,business,article-jan-1811,Oil companies get Russian setback,1
82,sport,article-jan-3831,Owen may have to return home,2
83,sport,article-jan-4567,Pearce keen on succeeding Keegan,2
84,technology,article-jan-3938,Poles play with GameBoy 'blip-pop',0
85,sport,article-jan-4175,Premier League probes Cole claims,2
86,sport,article-jan-0237,Prodigy Monfils blows away Gaudio,2
87,technology,article-jan-0924,Remote control rifle range debuts,0
88,sport,article-jan-1731,Robinson ready for difficult task,2
89,technology,article-jan-3981,Row brewing over peer-to-peer ads,0
90,sport,article-jan-2769,Rusedski angry over supplements,2
91,business,article-jan-2140,S Korean lender faces liquidation,1
